,,SCHOOL,SCHOOL,,Cadder PS is an existing polling place.,,,
MS2415,KMNO1508,ST MARY'S,No change,,,No change,,
,,(MARYHILL),,,,,,
,,PRIMARY SCHOOL,,,,,,
MS2515,KMNO1509,ST MARY'S,No change,,,No change,,
,,(MARYHILL),,,,,,
,,PRIMARY SCHOOL,,,,,,
MS2615,KMNO1510,GLASGOW CLUB,No change,,,No change,,
,,MAYHILL,,,,,,
MS2715,KMNO1511,WYNDFORD,GLASGOW,0.3M,To not use early years or ASL Education,Still under consideration,,
,,NURSERY,CLUB,,establishments.,,,
,,SCHOOL,MAYHILL,,Glasgow Club Maryhill is an existing,,,
,,,,,polling place.,,,
MS2815,KMNO1512,MARYHILL,No change,,,No change,,
,,COMMUNITY,,,,,,
,,CENTRE,,,,,,
EXISTING,POLLING,PROPOSED,CURRENT,PROPOSED,DISTANCE,REASON FOR PROPOSED,PROPOSED CHANGE TO,
POLLING,DISTRICT,NEW,POLLING PLACE,CHANGE TO,MILES,CHANGE TO VENUE,POLLING PLACE,
DISTRICT,MERGE,POLLING,,POLLING,,,,
,WITH,DISTRICT,,PLACE,,,,
,,NAME,,,,,,
KE1416,,KMNO1601,DUNARD,No change,,,No change,
,,,PRIMARY,,,,,
,,,SCHOOL,,,,,
MS0116,,KMNO1602,RUCHILL GOLF,No change,,,No change,
,,,CLUB,,,,,
MS0216,,KMNO1603,RUCHILL GOLF,No change,,,No change,
,,,CLUB,,,,,
MS0316,MS1016,,,,,,No change,
,,,,,,,,
MS0416,,KMNO1604,RUCHILL GOLF,No change,,,No change,
,,,CLUB,,,,,
MS0516,,ESNO1601,SCARAWAY,CHIRNSYDE,0.8M,To not use early years or ASL,No change,
,,,NURSERY,PRIMARY,,Education establishments.,,
,,,SCHOOL,SCHOOL,,Chirnsyde PS is an existing polling,,
,,,,,,place.,,
MS0616,,ESNO1602,CHIRNSYDE,No change,,,No change,
,,,PRIMARY,,,,,
,,,SCHOOL,,,,,
MS0716,,ESNO1603,TRINITY POSSIL,No change,,,No change,
,,,AND HENRY,,,,,
,,,DRUMMOND,,,,,
,,,CHURCH HALL,,,,,
MS0816,,ESNO1604,POSSIL POINT,No change,,,No change,
,,,,,,,,
MS0916,,KMNO1605,RUCHILL GOLF,No change,,,No change,
,,,CLUB,,,,,
MS1016,MS0316,ESNO1605,TRINITY POSSIL,No change,,,No change,
,,,AND HENRY,,,,,
,,,DRUMMOND,,,,,
,,,CHURCH HALL,,,,,
